# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.645029711180021877e+03	2.621631616550775945e+01	3.719025905200157994e-02	8.882983125156381898e-04	7.671933324631373396e-02	1.200812666679256825e-03	1.201625028715162635e+00	5.475202292066639297e-03	2.290021327882937552e+00	5.944931139258378960e-02	4.807582915786827726e+01	6.157553533402683854e+00	2.695684231837671518e+01	1.634258519924025252e-02	1.605520442413053139e-01	1.957398733672486429e-02	6.906361077163654105e-01	5.329154171927631689e-02	1.613799407262300312e+00	5.834159396042685325e-02
1.395206295193374899e+03	2.408612348224138344e+01	3.390948301065589698e-02	1.074434926508343550e-03	8.536638217071101931e-02	1.444728054601250762e-03	1.198506648340169178e+00	6.275886441338135793e-03	1.072438793291107251e+00	6.364869370939123250e-02	5.457917238097925861e+01	7.206573060681012777e+00	2.706636314357726647e+01	1.749599916156758042e-02	1.707284071846120743e-01	2.159149774533476382e-02	8.984662814253174812e-01	6.304401006953389008e-02	3.106075489502274287e-02	6.113065048421307407e-02
1.280201903231375354e+03	3.077058506189353793e+01	1.984510083470638134e-02	1.628078566816273855e-03	9.296185845547026705e-02	2.190472812715718674e-03	1.330084937364672815e+00	9.624065859889322297e-03	-2.264465092601518625e-01	8.390439181882151931e-02	4.632664955855776157e+01	9.274507221668939039e+00	2.677345321486683005e+01	2.495789438074940900e-02	1.526270143716317584e-01	2.890997153580358858e-02	5.463337164785014854e-01	7.438558736771117008e-02	-9.512999798076148261e-01	9.686376539055935320e-02
1.825584615405944987e+03	2.529315130276653889e+01	5.240822025017993768e-02	8.377496390431616409e-04	8.304886625939017497e-02	1.128818254452305329e-03	1.216329320372076195e+00	4.997702879026625494e-03	-1.684508259019610987e+00	6.349172064039709795e-02	4.744953655955671934e+01	5.905077282651251203e+00	2.681878369969793852e+01	1.544561255048499705e-02	1.579965938852302410e-01	1.876387182579150256e-02	7.424777774791286866e-01	5.259676653044794564e-02	-3.225222620278918040e+00	5.211031403343335117e-02
1.785316344302905918e+03	1.326443152335912856e+01	5.145851725152776612e-02	4.355926374324021089e-04	8.050346534252797448e-02	5.867399424558178899e-04	1.167977256160537047e+00	2.584087163255416233e-03	1.080567610920993710e-01	3.299312241709118076e-02	3.112822721835639683e+01	3.146158745578928162e+00	2.715039439164123536e+01	1.943110220458474716e-02	2.136883467505363010e-01	2.016780751017006879e-02	4.970351725321045522e-01	4.705953405605970558e-02	-8.544322315954473446e-01	5.073163050372637983e-02
1.695207919023027443e+03	2.090953330139692667e+01	4.083678610587058305e-02	6.826744831222779451e-04	7.624102401317886524e-02	9.238593554932614206e-04	1.224821027642428506e+00	4.262690851626559606e-03	3.909929148322974335e+00	4.622536759674187451e-02	5.827801767652029241e+01	3.181497110697235176e+00	2.696424057205236124e+01	8.566087435727651883e-03	1.892786405885637235e-01	9.755540792912671330e-03	6.281918971964796095e-01	2.463544174098545800e-02	3.656617311785144153e+00	3.911503728627848536e-02
1.161448280500817646e+03	2.316259415766964125e+01	-2.053413782865682810e-02	9.570780668293063986e-04	6.631830763207341439e-02	1.301654967906574296e-03	1.196265423884816492e+00	6.322727757717387306e-03	-2.357567932399689814e-01	4.286155953808665903e-02	4.387748064646969937e+01	4.787951746546143639e+00	2.685825846210965295e+01	1.993359094137457307e-02	2.175857950356001880e-01	2.238010488377875987e-02	6.804018214130554965e-01	5.572148703693793892e-02	-8.978802671305419203e-01	6.583667588958531935e-02
2.022684444470515473e+03	3.001314000990130637e+01	5.475112305119819028e-02	8.511391041441604150e-04	7.898335321024324562e-02	1.151391326902372883e-03	1.260606959099945357e+00	5.301157731272207636e-03	6.610229558048321685e-01	6.805991639041843178e-02	5.470828036817270146e+01	8.911961672209846697e+00	2.707012757135980863e+01	1.547453249063030292e-02	1.220626599695557452e-01	1.903601206384142666e-02	6.200691238626534485e-01	5.461694898887724248e-02	-3.716749224262042017e-01	6.480658610137216002e-02
1.848014152822281403e+03	1.901819519844395145e+01	5.414901063617644228e-02	5.957933324347065591e-04	7.954092017907860024e-02	8.031256807067014203e-04	1.171718328247232765e+00	3.561307319120595935e-03	-1.728581073918841401e-02	4.637835018836834050e-02	4.789648136210091423e+01	5.658603764946303016e+00	2.688016479086362054e+01	2.122892233471667875e-02	2.197990287145678012e-01	2.457382756777682503e-02	7.927013906255527820e-01	6.364865218766778410e-02	-9.816793953897202663e-01	7.147131848696638978e-02
1.425013130173681702e+03	2.952022654874392060e+01	2.408268701918622051e-02	1.232032117788032892e-03	8.177326783848073988e-02	1.662364285845109894e-03	1.232861018069250525e+00	7.457964110355689950e-03	-2.329743767842756608e+00	7.165807380478705912e-02	5.788886748001804250e+01	7.469546517799441787e+00	2.675022421342815448e+01	1.837757910829709157e-02	1.871324402974744172e-01	2.325131628387467481e-02	1.215907313320023553e+00	7.371299365030797857e-02	-4.496098669366189071e+00	5.696149387218894800e-02
1.591368623706634480e+03	1.557919124149341172e+01	5.940563672937552303e-02	6.718834432323789315e-04	9.383226481305366462e-02	8.989650258771444448e-04	1.201881169464757759e+00	3.752245905641164898e-03	-2.633828456059662537e-01	4.689566198259549623e-02	1.734710149780282507e+02	6.975043492513597343e+00	5.494724819459126053e+00	5.184361822205074168e-03	1.603781611744507229e-01	6.126216665010551267e-03	6.384239638912950765e-01	1.627407132069614779e-02	-1.067579653048916111e+00	6.969148946025509328e-02
1.338138166827454597e+03	2.813159010673567906e+01	2.153250685831225100e-02	1.197304880579605707e-03	7.824846793643462639e-02	1.614247777137463183e-03	1.155936311920177761e+00	7.164290240753243104e-03	4.629376013261566336e-01	6.782438664597623124e-02	8.138926584991851598e+01	2.371337672893128712e+01	2.691740210360627827e+01	2.443812088582831762e-02	1.135174014944657778e-01	3.224075388717716900e-02	1.163985096879361691e+00	1.222824192976656593e-01	-6.357112559918814965e-01	9.554457844350494611e-02
5.609523721519599349e+02	1.327321991520451228e+01	-2.354188214728277218e-01	1.992585846617571464e-03	1.147935130172187818e-01	2.653899791913465287e-03	1.374095805149952998e+00	1.080099603149465952e-02	-3.192430806636815888e+00	4.733182939078998952e-02	2.554869955906755052e+01	2.070196015158776159e+00	2.670515651328796380e+01	2.678631293724745635e-02	2.876342840426546754e-01	2.154071279597031055e-02	3.575862293343978204e-01	4.818922598207234231e-02	-3.907526050162439368e+00	5.039144232571726723e-02
1.785847198580401937e+03	2.482633234355544616e+01	5.090336116925878868e-02	7.649474178947877640e-04	7.570780963453122014e-02	1.033502812899467519e-03	1.169821258875088699e+00	4.680644619689715638e-03	7.162076413778927453e+00	5.654198022837796794e-02	6.235538654871465525e+01	5.881255823163604290e+00	2.697983028582715548e+01	1.556469215731031905e-02	2.088896304212959909e-01	1.878298032455072084e-02	9.510157469451432366e-01	5.232813526575741392e-02	6.625828002450055543e+00	6.175809761087883848e-02
8.858015841468995859e+02	2.752039272739102316e+01	-8.084818885273818700e-02	1.589958631789433743e-03	7.077896090041997657e-02	2.164772162508344158e-03	1.322679538413699341e+00	1.071639262481094770e-02	-3.718224102057654079e+00	5.120199346685395253e-02	8.478069899418221667e+01	1.144954451176601573e+01	2.684320647194749654e+01	9.547863523685522213e-03	9.435410377493735901e-02	1.233816880774814273e-02	7.339117304718558721e-01	4.147237300875219329e-02	-5.053702368546538537e+00	5.222670885742172059e-02
1.673296540908949737e+03	6.250119527701199473e+01	2.720363631723136250e-02	2.330278031475210756e-03	8.602439340513355626e-02	3.158125955682128828e-03	1.446696490125199741e+00	1.494966183484178028e-02	-3.535135193181994318e+00	1.421657607773782195e-01	1.963223248818102107e+01	6.797461638865582856e+00	2.704464729061060524e+01	1.889590652549962557e-01	2.692640808520374018e-01	8.796486764662575508e-02	1.457806436983421772e-01	2.428305347550832050e-01	-4.873826417644379738e+00	1.660994832481361705e-01
1.973663797498314352e+03	1.966601990971518887e+01	5.583322514258187708e-02	5.731485457207859385e-04	7.907967035059933203e-02	7.734574852116791761e-04	1.193441680927881388e+00	3.468284996076833292e-03	4.432051685955505360e-01	4.682449855495737084e-02	4.707279933322787002e+01	5.164311292889450122e+00	2.712745639345291693e+01	1.354705373170274688e-02	1.552252624209704279e-01	1.621749094230391305e-02	6.652844976969307655e-01	4.407611532802903354e-02	-7.163264533156411540e-01	4.820071802552048507e-02
1.583797870890581407e+03	1.936419299227565816e+01	4.941129980709502850e-02	7.974940858913083259e-04	8.933826559733495931e-02	1.069969174872472664e-03	1.202869242378038273e+00	4.564048718759170474e-03	-1.102977859695050133e+00	5.437891487511746502e-02	3.159667592236873546e+01	2.984836746354166515e+00	2.693693543204581076e+01	2.118699480759020370e-02	2.465788186500067758e-01	2.172487203405647910e-02	5.531357722853915693e-01	5.044253093060908216e-02	-3.059588240246112534e+00	5.290638176118294539e-02
